"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.92951434555993961,0.08782601356506348,0.0013689994812011719
"Perceptron",0.89241457003379654,0.09992218017578125,0.0012698173522949219
"PassiveAggressiveClassifier",0.94656260873887754,0.022582054138183594,0.0013151168823242188
"NearestCentroid",0.89934614622548048,0.04750990867614746,0.010428905487060547
"MultinomialNB",0.9007014362742759,0.02893686294555664,0.0027141571044921875
"BernoulliNB",0.9222043766311987,0.0262451171875,0.006121158599853516
"LinearSVC (L2 penalty)",0.94352848257478528,0.41683506965637207,0.0015480518341064453
"LinearSVC (L1 penalty)",0.94544198895027642,0.2513289451599121,0.0012421607971191406
"LinearSVC (L1 feature select)",0.94080873232448525,0.22314214706420898,0.00776219367980957
"LogisticRegression (L2 penalty)",0.94392851764469654,0.16400909423828125,0.0012600421905517578
"LogisticRegression (L1 penalty)",0.94211180124223615,0.16679692268371582,0.0011360645294189453
"LogisticRegression (L1-feature select)",0.93563264487667952,0.20488405227661133,0.008965015411376953
"SGD (L2 penalty)",0.95029225158615194,0.12108802795410156,0.0015780925750732422
"SGD (L1 penalty)",0.94553093582753978,0.24025893211364746,0.001135110855102539
"SGD (L1-feature select)",0.93806203900171781,0.1325821876525879,0.023440122604370117
