"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.90152207820147356,0.03358602523803711,0.001444101333618164
"Perceptron",0.89838147920508094,0.07537603378295898,0.0014410018920898438
"PassiveAggressiveClassifier",0.91194934807104144,0.021525144577026367,0.0034961700439453125
"NearestCentroid",0.86624136658406692,0.03360104560852051,0.01649308204650879
"MultinomialNB",0.82892618992871925,0.033286094665527344,0.009625911712646484
"BernoulliNB",0.83833983031414805,0.022646188735961914,0.01215505599975586
"LinearSVC (L2 penalty)",0.93081892060846017,0.29384493827819824,0.0013928413391113281
"LinearSVC (L1 penalty)",0.93132780082987576,0.2609710693359375,0.0077440738677978516
"LinearSVC (L1 feature select)",0.91180489855986546,0.18417596817016602,0.0065119266510009766
"LogisticRegression (L2 penalty)",0.90170479067760045,0.13476991653442383,0.0022749900817871094
"LogisticRegression (L1 penalty)",0.91805344112551834,0.17536497116088867,0.0011260509490966797
"LogisticRegression (L1-feature select)",0.88678835289004787,0.2057948112487793,0.016260147094726562
"SGD (L2 penalty)",0.92504474155174232,0.10893607139587402,0.0010809898376464844
"SGD (L1 penalty)",0.93524585934678284,0.2417919635772705,0.005120992660522461
"SGD (L1-feature select)",0.90675172780435931,0.13000988960266113,0.011072874069213867
