"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.91035455278001609,0.054292917251586914,0.0014729499816894531
"Perceptron",0.85768556399766216,0.08909916877746582,0.0016179084777832031
"PassiveAggressiveClassifier",0.9169634102286216,0.02631092071533203,0.0016520023345947266
"NearestCentroid",0.74015748031496065,0.025964021682739258,0.012955904006958008
"MultinomialNB",0.8877198109990746,0.012842893600463867,0.007786989212036133
"BernoulliNB",0.90265396566654799,0.014689922332763672,0.005206108093261719
"LinearSVC (L2 penalty)",0.91137934591973591,0.3540761470794678,0.0016469955444335938
"LinearSVC (L1 penalty)",0.90784737221022338,0.22343111038208008,0.001968860626220703
"LinearSVC (L1 feature select)",0.89587036069001569,0.24793195724487305,0.012748956680297852
"LogisticRegression (L2 penalty)",0.89609974424552419,0.1647350788116455,0.0015380382537841797
"LogisticRegression (L1 penalty)",0.89360138575402848,0.1686420440673828,0.0013730525970458984
"LogisticRegression (L1-feature select)",0.85701778385772909,0.19306182861328125,0.009160041809082031
"SGD (L2 penalty)",0.91569525395503748,0.09892916679382324,0.00185394287109375
"SGD (L1 penalty)",0.91171582883257174,0.2220458984375,0.001528024673461914
"SGD (L1-feature select)",0.88029643950378611,0.12975811958312988,0.009051084518432617
