"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.91817075643885615,0.08895301818847656,0.001611948013305664
"Perceptron",0.89419830675738854,0.07664299011230469,0.0017549991607666016
"PassiveAggressiveClassifier",0.76934105980046597,0.025674104690551758,0.0018339157104492188
"NearestCentroid",0.87626143544279933,0.029832839965820312,0.013036966323852539
"MultinomialNB",0.87653838640359449,0.01961493492126465,0.0032939910888671875
"BernoulliNB",0.88483131859794661,0.016390085220336914,0.0054569244384765625
"LinearSVC (L2 penalty)",0.92303102625298328,0.6265981197357178,0.0017328262329101562
"LinearSVC (L1 penalty)",0.92374057913526375,0.8455300331115723,0.001566171646118164
"LinearSVC (L1 feature select)",0.91830000000000001,0.28568387031555176,0.011482954025268555
"LogisticRegression (L2 penalty)",0.92020390652601836,0.2141280174255371,0.0015139579772949219
"LogisticRegression (L1 penalty)",0.92062697180629971,0.24927496910095215,0.0016868114471435547
"LogisticRegression (L1-feature select)",0.90824716267339223,0.28319692611694336,0.011960983276367188
"SGD (L2 penalty)",0.88647084048027447,0.09495782852172852,0.0018930435180664062
"SGD (L1 penalty)",0.90669993242892055,0.212205171585083,0.0017011165618896484
"SGD (L1-feature select)",0.84036144578313254,0.13761305809020996,0.020437955856323242
