"Classifier","Score","Train.Time","Test.Time"
"RidgeClassifier",0.90672587375110048,0.7468950748443604,0.015974044799804688
"Perceptron",0.87880582691687725,0.5385890007019043,0.0168149471282959
"PassiveAggressiveClassifier",0.94580003336315799,0.14692187309265137,0.01582503318786621
"NearestCentroid",0.79152306100283087,0.170090913772583,0.12169313430786133
"MultinomialNB",0.86000142250883149,0.06393790245056152,0.03627586364746094
"BernoulliNB",0.85936763001159211,0.0660099983215332,0.041784048080444336
"LinearSVC (L2 penalty)",0.94318327755660136,7.554693937301636,0.017390012741088867
"LinearSVC (L1 penalty)",0.94427265545649475,2.2558541297912598,0.02866816520690918
"LinearSVC (L1 feature select)",0.93704958283129103,2.357132911682129,0.23364782333374023
"LogisticRegression (L2 penalty)",0.94050256441382651,1.9000489711761475,0.01519012451171875
"LogisticRegression (L1 penalty)",0.94632666546524891,1.1471738815307617,0.016865015029907227
"LogisticRegression (L1-feature select)",0.92741152826281326,1.4739410877227783,0.23459410667419434
"SGD (L2 penalty)",0.92276271815818778,0.7396969795227051,0.022056102752685547
"SGD (L1 penalty)",0.90138738500128524,2.189972162246704,0.03271007537841797
"SGD (L1-feature select)",0.8725442989214176,0.9718480110168457,0.33100295066833496
